Seal,Name,"Name
(in Thai)",Population (2019),Area (km2),Population density,Namesake town/city,HS,ISO,FIPS
,"Bangkok 
(special administrative area)",กรุงเทพมหานคร,"5,666,264","1,564","3,623",Bangkok,BKK,TH-10,TH40
,Amnat Charoen,อำนาจเจริญ,"378,438","3,290",115,Amnat Charoen,ACR,TH-37,TH77
,Ang Thong,อ่างทอง,"279,654",950,294,Ang Thong,ATG,TH-15,TH35
,Bueng Kan,บึงกาฬ,"424,091","4,003",106,Bueng Kan,BKN,TH-38,TH81
,Buriram,บุรีรัมย์,"1,595,747","10,080",159,Buriram,BRM,TH-31,TH28
,Chachoengsao,ฉะเชิงเทรา,"720,113","5,169",139,Chachoengsao,CCO,TH-24,TH44
,Chai Nat,ชัยนาท,"326,611","2,506",131,Chai Nat,CNT,TH-18,TH32
,Chaiyaphum,ชัยภูมิ,"1,137,357","12,698",91,Chaiyaphum,CPM,TH-36,TH26
,Chanthaburi,จันทบุรี,"537,698","6,415",84,Chanthaburi,CTI,TH-22,TH48
,Chiang Mai,เชียงใหม่,"1,779,254","22,135",79,Chiang Mai,CMI,TH-50,TH02
,Chiang Rai,เชียงราย,"1,298,304","11,503",113,Chiang Rai,CRI,TH-57,TH03
,Chonburi,ชลบุรี,"1,558,301","4,508",346,Chonburi,CBI,TH-20,TH46
,Chumphon,ชุมพร,"511,304","5,998",85,Chumphon,CPN,TH-86,TH58
,Kalasin,กาฬสินธุ์,"983,418","6,936",142,Kalasin,KSN,TH-46,TH23
,Kamphaeng Phet,กำแพงเพชร,"725,867","8,512",86,Kamphaeng Phet,KPT,TH-62,TH11
,Kanchanaburi,กาญจนบุรี,"895,525","19,385",46,Kanchanaburi,KRI,TH-71,TH50
,Khon Kaen,ขอนแก่น,"1,802,872","10,659",169,Khon Kaen,KKN,TH-40,TH22
,Krabi,กระบี่,"476,739","5,323",90,Krabi,KBI,TH-81,TH63
,Lampang,ลำปาง,"738,316","12,488",59,Lampang,LPG,TH-52,TH06
,Lamphun,ลำพูน,"405,075","4,478",92,Lamphun,LPN,TH-51,TH05
,Loei,เลย,"642,950","10,500",61,Loei,LEI,TH-42,TH18
,Lopburi,ลพบุรี,"755,556","6,493",116,Lopburi,LRI,TH-16,TH34
,Mae Hong Son,แม่ฮ่องสอน,"284,138","12,765",23,Mae Hong Son,MSN,TH-58,TH01
,Maha Sarakham,มหาสารคาม,"962,665","5,607",172,Maha Sarakham,MKM,TH-44,TH24
,Mukdahan,มุกดาหาร,"353,174","4,126",87,Mukdahan,MDH,TH-49,TH78
,Nakhon Nayok,นครนายก,"260,751","2,141",122,Nakhon Nayok,NYK,TH-26,TH43
,Nakhon Pathom,นครปฐม,"920,030","2,142",430,Nakhon Pathom,NPT,TH-73,TH53
,Nakhon Phanom,นครพนม,"719,136","5,637",127,Nakhon Phanom,NPM,TH-48,TH73
,Nakhon Ratchasima,นครราชสีมา,"2,648,927","20,736",128,Nakhon Ratchasima,NMA,TH-30,TH27
