,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,แม่ฮ่องสอน,30.2,23.8,E,14.83,18:44,15.0,"1,191.1",2022-09-09,5.0,3.0,แม่ฮ่องสอน,48300.0,Mae Hong Son
1,west,ชุมพร,32.1,24.3,NW,24.09,10:04,0,"1,497.1",2022-09-09,99.0,63.0,ชุมพร,48517.0,Chumphon
2,west,นครศรีธรรมราช,34.0,25.0,NNE,29.65,15:57,0,"2,155.7",2022-09-09,101.0,64.0,นครศรีธรรมราช,48552.0,Nakhon Si Thammarat
3,south,ภูเก็ต (ศูนย์ฯ),31.2,25.6,W,22.24,10:22,0,"1,988.7",2022-09-09,117.0,75.0,ภูเก็ต,48565.0,Phuket
4,south,ตะกั่วป่า,31.5,22.7,WSW,24.09,15:00,0,"2,880.1",2022-09-09,122.0,78.0,พังงา,48561.0,Phangnga
5,south,ระนอง,29.6,23.5,WSW,29.65,16:57,8.1,"3,095.6",2022-09-09,116.0,74.0,ระนอง,48532.0,Ranong
6,west,เกาะสมุย,34.0,25.6,W,25.95,15:55,0,"1,341.5",2022-09-09,111.0,72.0,สุราษฎร์ธานี,48550.0,Surat Thani
7,south,เกาะลันตา,32.2,25.6,SW,20.39,08:44,0,"1,950.2",2022-09-09,119.0,76.0,กระบี่,48566.0,Krabi
8,west,พัทลุง สกษ.,34.0,25.0,SSE,35.21,15:00,2.8,"1,619.5",2022-09-09,115.0,73.0,พัทลุง,48560.0,Phatthalung
9,south,สตูล,32.3,24.9,WSW,14.83,13:10,0,"1,635.5",2022-09-09,123.0,79.0,สตูล,48570.0,Satun
10,west,หาดใหญ่,33.2,23.5,SW,22.24,15:00,1.6,"1,134.0",2022-09-09,124.0,80.0,สงขลา,48569.0,Songkhla
11,south,ตรัง,34.2,25.3,W,24.09,13:36,0,"1,769.0",2022-09-09,121.0,77.0,ตรัง,48567.0,Trang
12,west,ยะลา สกษ.,34.6,24.2,SW,24.09,12:00,5.3,"1,432.4",2022-09-09,105.0,67.0,ยะลา,48581.0,Yala
13,north,เชียงราย,32.3,24.0,SSE,29.65,18:38,15.0,"1,605.6",2022-09-09,0.0,1.0,เชียงราย,48303.0,Chiang Rai
14,north,เชียงใหม่,32.0,24.1,E,29.65,18:02,21.3,"1,260.9",2022-09-09,2.0,2.0,เชียงใหม่,48327.0,Chiang Mai
15,north,ลำปาง,31.2,24.2,E,20.39,16:42,36.4,936.4,2022-09-09,24.0,13.0,ลำปาง,48328.0,Lampang
16,north,ลำพูน,31.7,23.8,ESE,20.39,14:17,26.8,"1,019.9",2022-09-09,23.0,12.0,ลำพูน,48329.0,Lamphun
17,north,น่าน,31.1,24.2,E,14.83,13:00,20.5,"1,218.0",2022-09-09,12.0,5.0,น่าน,48331.0,Nan
18,north,พะเยา,30.6,23.0,S,35.21,16:15,4.7,"1,237.1",2022-09-09,22.0,11.0,พะเยา,48310.0,Phayao
19,north,แพร่,32.0,25.0,E,18.53,13:50,6.2,950.5,2022-09-09,27.0,14.0,แพร่,48330.0,Phrae
20,north,พิษณุโลก,31.0,24.4,SW,16.68,15:10,3.0,"1,232.0",2022-09-09,17.0,7.0,พิษณุโลก,48378.0,Phitsanulok
21,north,สุโขทัย,32.0,24.3,NNE,25.95,16:30,34.7,980.4,2022-09-09,20.0,10.0,สุโขทัย,48372.0,Sukhothai
22,north,อุตรดิตถ์,33.1,25.2,SSE,12.97,18:30,54.9,"1,040.5",2022-09-09,16.0,6.0,อุตรดิตถ์,48351.0,Uttaradit
23,middle,กาญจนบุรี,32.9,23.5,SW,12.97,15:41,0,845.0,2022-09-09,61.0,35.0,กาญจนบุรี,48450.0,Kanchanaburi
24,north,กำแพงเพชร,30.0,24.6,WNW,12.97,15:56,26.1,"1,325.2",2022-09-09,18.0,8.0,กำแพงเพชร,48380.0,Kamphaeng Phet
25,north,พิจิตร สกษ.,31.2,24.8,NW,18.53,16:53,2.2,970.6,2022-09-09,19.0,9.0,พิจิตร,48386.0,Phichit
26,north,เพชรบูรณ์,28.4,25.1,NE,16.68,12:10,1.4,918.4,2022-09-09,28.0,15.0,เพชรบูรณ์,48379.0,Phetchabun
27,middle,สุพรรณบุรี,33.0,24.4,SSW,20.39,21:49,47.8,"1,000.5",2022-09-09,69.0,38.0,สุพรรณบุรี,48425.0,Suphan Buri
28,north,ตาก,29.1,24.0,W,12.97,12:43,20.6,797.5,2022-09-09,7.0,4.0,ตาก,48376.0,Tak
29,middle,อุทัยธานี,33.8,25.0,SSW,16.68,20:29,0.1,"1,039.9",2022-09-09,78.0,48.0,อุทัยธานี,48410.0,Uthai Thani
30,,,,,,,,,,,,,,,Ang Thong
31,middle,ชัยนาท สกษ.,30.7,24.2,NW,9.27,13:30,3.6,956.4,2022-09-09,71.0,39.0,ชัยนาท,48402.0,Chai Nat
32,middle,ลพบุรี,32.1,24.8,SW,16.68,12:32,10.2,776.6,2022-09-09,72.0,40.0,ลพบุรี,48426.0,Lop Buri
33,east,นครนายก,24.5,18.5,,,,13.4,"2,823.9",2022-09-09,93.0,60.0,นครนายก,48417.0,Nakhon Nayok
34,east,ปราจีนบุรี,32.5,25.2,ESE,5.56,15:00,2.5,"1,524.9",2022-09-09,87.0,56.0,ปราจีนบุรี,48430.0,Prachin Buri
35,middle,นครสวรรค์,30.6,24.5,NW,9.27,10:35,6.5,"1,194.1",2022-09-09,63.0,36.0,นครสวรรค์,48400.0,Nakhon Sawan
36,middle,พระนครศรีอยุธยา,33.2,22.9,NE,11.12,12:00,1.4,782.5,2022-09-09,74.0,41.0,พระนครศรีอยุธยา,48415.0,Phra Nakhon Si Ayutthaya
37,middle,ปทุมธานี สกษ.,33.0,24.6,WSW,9.27,05:35,1.7,"1,311.6",2022-09-09,76.0,43.0,ปทุมธานี,48419.0,Pathum Thani
38,,,,,,,,,,,,,,,Sing Buri
39,,,,,,,,,,,,,,,Saraburi
40,middle,กรุงเทพมหานคร,33.7,24.9,NNE,24.09,12:03,3.5,"1,670.7",2022-09-09,65.0,37.0,กรุงเทพมหานคร,48455.0,Bangkok Metropolis
41,,,,,,,,,,,,,,,Nonthaburi
42,middle,นครปฐม,32.5,24.7,NNW,20.39,23:12,2.2,634.3,2022-09-09,79.0,50.0,นครปฐม,48451.0,Nakhon Pathom
43,west,เพชรบุรี,33.2,22.8,,,,6.2,657.5,2022-09-09,107.0,70.0,เพชรบุรี,48465.0,Phetchaburi
44,west,หัวหิน,33.2,25.5,SE,20.39,11:00,0.1,720.9,2022-09-09,108.0,71.0,ประจวบคีรีขันธ์,48475.0,Prachuap Khiri Khan
