,region,station_name,max_temp,min_temp,wind_dir,max_wind_v,time,rain_24h,yearly_rain,date,Unnamed: 0,id,province,station_id,eng_province
0,north,เชียงราย,30.9,24.5,N,20.39,07:10,44.8,"1,437.6",2022-08-21,0,1,เชียงราย,48303,Chiang Rai
1,north,เชียงราย สกษ.,30.5,23.3,SE,31.51,09:28,45.0,"1,543.6",2022-08-21,1,1,เชียงราย,48304,
2,north,เชียงใหม่,29.7,25.8,SSW,12.97,09:40,4.3,"1,149.5",2022-08-21,2,2,เชียงใหม่,48327,Chiang Mai
3,north,ดอยอ่างขาง,21.0,19.0,WSW,38.92,11:00,31.7,"1,646.8",2022-08-21,3,2,เชียงใหม่,48302,
4,north,แม่โจ้ สกษ.,,,,,,,,2022-08-21,4,2,เชียงใหม่,48326,
5,north,แม่ฮ่องสอน,29.5,23.5,S,9.27,13:59,0.2,"1,055.8",2022-08-21,5,3,แม่ฮ่องสอน,48300,Mae Hong Son
6,north,แม่สะเรียง,31.3,22.3,ESE,14.83,18:06,0,876.0,2022-08-21,6,3,แม่ฮ่องสอน,48325,
7,north,ตาก,,,,,,,,2022-08-21,7,4,ตาก,48376,Tak
8,north,แม่สอด,31.0,23.5,WSW,29.65,17:08,4.7,"1,063.2",2022-08-21,8,4,ตาก,48375,
9,north,เขื่อนภูมิพล,33.2,27.4,WSW,16.68,17:49,0,599.8,2022-08-21,9,4,ตาก,48377,
10,,ดอยมูเซอ สกษ.,,,,,,,,,10,4,ตาก,48387,
11,north,อุ้มผาง,29.5,21.4,SW,12.97,14:04,10.9,"1,257.1",2022-08-21,11,4,ตาก,48385,
12,north,น่าน,27.4,23.2,SSE,9.27,13:53,5.9,"1,071.6",2022-08-21,12,5,น่าน,48331,Nan
13,north,น่าน สกษ.,27.0,23.4,ESE,11.12,11:36,7.5,"1,016.1",2022-08-21,13,5,น่าน,48333,
14,north,ท่าวังผา,27.5,23.0,E,14.83,15:35,47.0,"1,328.1",2022-08-21,14,5,น่าน,48315,
15,north,ทุ่งช้าง,29.0,22.8,S,9.27,15:30,18.1,"1,489.6",2022-08-21,15,5,น่าน,48307,
16,north,อุตรดิตถ์,29.5,25.2,SW,16.68,12:28,1.8,888.5,2022-08-21,16,6,อุตรดิตถ์,48351,Uttaradit
17,north,พิษณุโลก,30.0,24.4,W,24.09,20:20,13.2,971.6,2022-08-21,17,7,พิษณุโลก,48378,Phitsanulok
18,north,กำแพงเพชร,32.1,25.2,W,24.09,16:57,0.7,"1,139.3",2022-08-21,18,8,กำแพงเพชร,48380,Kamphaeng Phet
19,north,พิจิตร สกษ.,31.4,25.6,SSW,37.07,19:58,4.8,845.1,2022-08-21,19,9,พิจิตร,48386,Phichit
20,north,สุโขทัย,31.2,25.2,NE,68.57,18:40,22.0,727.1,2022-08-21,20,10,สุโขทัย,48372,Sukhothai
21,north,ศรีสำโรง สกษ.,30.5,25.4,NNW,24.09,18:40,11.6,676.9,2022-08-21,21,10,สุโขทัย,48373,
22,north,พะเยา,28.2,22.0,NE,27.80,07:28,35.7,990.6,2022-08-21,22,11,พะเยา,48310,Phayao
23,north,ลำพูน,30.7,25.6,SW,12.97,14:50,8.8,855.0,2022-08-21,23,12,ลำพูน,48329,Lamphun
24,north,ลำปาง,30.8,25.4,S,14.83,21:36,25.2,719.1,2022-08-21,24,13,ลำปาง,48328,Lampang
25,north,เถิน,31.9,24.2,SSW,24.09,02:00,0,"1,010.8",2022-08-21,25,13,ลำปาง,48324,
26,north,ลำปาง สกษ.,29.0,24.0,NE,9.27,10:38,22.4,"1,152.2",2022-08-21,26,13,ลำปาง,48334,
27,north,แพร่,28.9,23.7,SSW,11.12,15:10,7.2,826.2,2022-08-21,27,14,แพร่,48330,Phrae
28,north,เพชรบูรณ์,30.8,24.9,SSE,7.41,12:00,1.7,771.6,2022-08-21,28,15,เพชรบูรณ์,48379,Phetchabun
29,north,หล่มสัก,29.4,24.7,S,18.53,07:30,0.3,590.3,2022-08-21,29,15,เพชรบูรณ์,48374,
30,north,วิเชียรบุรี,32.7,25.4,E,14.83,17:17,5.9,"1,043.6",2022-08-21,30,15,เพชรบูรณ์,48413,
31,north east,หนองคาย,30.9,23.5,SW,20.39,17:23,5.8,"1,601.7",2022-08-21,31,16,หนองคาย,48352,Nong Khai
32,north east,เลย,30.0,22.5,NE,7.41,16:13,2.8,"1,063.3",2022-08-21,32,17,เลย,48353,Loei
33,north east,เลย สกษ.,30.1,23.0,SW,12.97,16:29,4.1,945.3,2022-08-21,33,17,เลย,48350,
34,north east,ขอนแก่น,31.5,22.9,SSE,25.95,01:05,5.4,"1,079.1",2022-08-21,34,18,ขอนแก่น,48381,Khon Kaen
35,north east,ท่าพระ สกษ.,31.3,22.9,S,22.24,09:29,13.3,"1,049.4",2022-08-21,35,18,ขอนแก่น,48384,
36,north east,อุบลราชธานี (ศูนย์ฯ),32.2,23.1,S,22.24,14:35,2.0,"1,524.0",2022-08-21,36,19,อุบลราชธานี,48407,Ubon Ratchathani
37,north east,อุบลราชธานี สกษ.,31.0,22.7,S,16.68,12:02,0.8,"1,332.6",2022-08-21,37,19,อุบลราชธานี,48408,
38,north east,นครราชสีมา,33.3,24.2,WSW,24.09,11:54,0.2,834.1,2022-08-21,38,20,นครราชสีมา,48431,Nakhon Ratchasima
39,north east,ปากช่อง สกษ.,31.5,24.5,W,25.95,13:08,2.5,927.7,2022-08-21,39,20,นครราชสีมา,48435,
40,north east,โชคชัย,33.7,24.7,W,18.53,13:30,1.2,797.7,2022-08-21,40,20,นครราชสีมา,48434,
41,north east,ร้อยเอ็ด,31.5,23.1,WSW,25.95,12:02,0,"1,205.2",2022-08-21,41,21,ร้อยเอ็ด,48405,Roi Et
42,north east,ร้อยเอ็ด สกษ.,30.6,22.9,SSW,20.39,13:15,0.1,"1,236.0",2022-08-21,42,21,ร้อยเอ็ด,48404,
43,north east,มุกดาหาร,30.5,24.1,WSW,18.53,08:30,0,"1,077.8",2022-08-21,43,22,มุกดาหาร,48383,Mukdahan
44,north east,อุดรธานี,28.6,23.5,S,20.39,12:55,17.0,"1,044.3",2022-08-21,44,23,อุดรธานี,48354,Udon Thani
45,north east,หนองบัวลำภู,28.4,23.0,SSW,16.68,12:51,0.2,813.8,2022-08-21,45,24,หนองบัวลำภู,48360,Nong Bua Lam Phu
46,north east,นครพนม,28.5,24.0,WSW,444.78,14:00,3.3,"1,427.1",2022-08-21,46,25,นครพนม,48357,Nakhon Phanom
47,north east,นครพนม สกษ.,28.0,23.2,S,22.24,20:00,1.8,"1,282.4",2022-08-21,47,25,นครพนม,48358,
48,north east,สกลนคร,29.6,23.0,SSE,25.95,14:40,29.1,948.7,2022-08-21,48,26,สกลนคร,48356,Sakon Nakhon
49,north east,สกลนคร สกษ.,29.5,23.0,SSW,18.53,10:33,12.5,"1,298.8",2022-08-21,49,26,สกลนคร,48355,
50,north east,มหาสารคาม,32.7,22.8,SW,18.53,13:02,7.7,987.3,2022-08-21,50,27,มหาสารคาม,48382,Maha Sarakham
51,north east,กาฬสินธุ์,31.2,21.9,SSW,16.68,12:57,0,"1,094.0",2022-08-21,51,28,กาฬสินธุ์,48390,Kalasin
52,north east,ชัยภูมิ,31.6,22.8,W,25.95,21:00,10.3,959.5,2022-08-21,52,29,ชัยภูมิ,48403,Chaiyaphum
53,north east,ศรีสะเกษ,31.8,23.0,S,20.39,14:11,0,"1,004.9",2022-08-21,53,30,ศรีสะเกษ,48409,Si Sa Ket
54,north east,ยโสธร,30.7,23.2,WNW,25.95,00:49,2.4,"1,196.2",2022-08-21,54,31,ยโสธร,48406,Yasothon
55,north east,สุรินทร์,32.2,22.3,SW,31.51,15:45,2.6,"1,323.1",2022-08-21,55,32,สุรินทร์,48432,Surin
56,north east,สุรินทร์ สกษ.,32.8,22.9,S,24.09,11:30,1.8,"1,198.3",2022-08-21,56,32,สุรินทร์,48433,
57,north east,ท่าตูม,30.4,24.4,SSW,18.53,10:20,1.9,620.6,2022-08-21,57,32,สุรินทร์,48416,
58,north east,บุรีรัมย์,31.8,22.2,,,,5.7,"1,399.8",2022-08-21,58,33,บุรีรัมย์,48437,Buri Ram
59,north east,นางรอง,33.3,23.8,SSW,22.24,19:44,0.4,"1,330.4",2022-08-21,59,33,บุรีรัมย์,48436,
60,north east,อำนาจเจริญ,28.7,22.9,S,24.09,02:41,0.6,"1,205.2",2022-08-21,60,34,อำนาจเจริญ,48391,Amnat Charoen
61,middle,กาญจนบุรี,33.6,25.5,W,18.53,10:30,0.8,727.7,2022-08-21,61,35,กาญจนบุรี,48450,Kanchanaburi
62,middle,ทองผาภูมิ,29.3,24.2,NNW,11.12,11:59,7.3,"1,194.7",2022-08-21,62,35,กาญจนบุรี,48421,
63,middle,นครสวรรค์,35.0,25.6,S,14.83,17:35,0.3,999.5,2022-08-21,63,36,นครสวรรค์,48400,Nakhon Sawan
64,middle,ตากฟ้า สกษ.,34.4,25.3,ESE,22.24,16:28,0,858.1,2022-08-21,64,36,นครสวรรค์,48401,
65,middle,กรุงเทพมหานคร,33.4,26.2,N,27.80,16:24,5.5,"1,295.4",2022-08-21,65,37,กรุงเทพมหานคร,48455,Bangkok Metropolis
66,middle,กรุงเทพฯ ท่าเรือคลองเตย,33.0,26.3,W,11.12,16:00,6.2,"1,063.6",2022-08-21,66,37,กรุงเทพมหานคร,48454,
67,middle,กรุงเทพฯ บางนา สกษ.,32.2,25.3,WNW,16.68,16:48,16.3,"1,281.2",2022-08-21,67,37,กรุงเทพมหานคร,48453,
68,middle,สนามบินดอนเมือง,33.4,26.9,SSW,35.21,16:07,5.6,"1,061.4",2022-08-21,68,37,กรุงเทพมหานคร,48456,
69,middle,สุพรรณบุรี,34.9,26.0,SSW,24.09,14:16,0,788.7,2022-08-21,69,38,สุพรรณบุรี,48425,Suphan Buri
70,middle,อู่ทอง สกษ.,35.1,25.3,W,14.83,18:00,0,596.4,2022-08-21,70,38,สุพรรณบุรี,48427,
71,middle,ชัยนาท สกษ.,35.2,25.4,SSE,22.24,17:00,0.3,853.0,2022-08-21,71,39,ชัยนาท,48402,Chai Nat
72,middle,ลพบุรี,34.8,25.7,S,22.24,16:20,0.8,555.9,2022-08-21,72,40,ลพบุรี,48426,Lop Buri
73,middle,บัวชุม,34.7,25.4,W,29.65,18:05,1.0,894.1,2022-08-21,73,40,ลพบุรี,48418,
74,middle,พระนครศรีอยุธยา,34.0,24.9,SSW,18.53,18:40,0,632.2,2022-08-21,74,41,พระนครศรีอยุธยา,48415,Phra Nakhon Si Ayutthaya
75,middle,ราชบุรี,33.3,24.9,WNW,35.21,15:32,7.4,612.5,2022-08-21,75,42,ราชบุรี,48464,Ratchaburi
76,middle,ปทุมธานี สกษ.,34.6,26.4,WSW,33.36,16:33,0.1,977.1,2022-08-21,76,43,ปทุมธานี,48419,Pathum Thani
77,middle,สมุทรสงคราม,32.2,24.6,WNW,31.51,16:55,18.0,625.1,2022-08-21,77,46,สมุทรสงคราม,48438,Samut Songkhram
78,middle,อุทัยธานี,35.0,26.3,WSW,29.65,00:00,0,929.9,2022-08-21,78,48,อุทัยธานี,48410,Uthai Thani
79,middle,นครปฐม,34.2,25.5,W,27.80,16:11,0.1,534.4,2022-08-21,79,50,นครปฐม,48451,Nakhon Pathom
80,middle,นำร่อง,31.2,25.2,S,25.95,16:00,0.1,758.8,2022-08-21,80,51,สมุทรปราการ,48457,Samut Prakan
81,middle,สมุทรปราการ สกษ.,32.4,27.0,SSW,24.09,16:52,1.5,951.2,2022-08-21,81,51,สมุทรปราการ,48420,
82,middle,สนามบินสุวรรณภูมิ,31.4,25.7,S,33.36,15:30,3.0,993.2,2022-08-21,82,51,สมุทรปราการ,48429,
83,east,สระแก้ว,32.6,25.2,S,7.41,17:20,6.0,"1,243.9",2022-08-21,83,53,สระแก้ว,48440,Sa Kaeo
84,east,อรัญประเทศ,34.5,26.3,W,18.53,15:20,0.1,964.0,2022-08-21,84,53,สระแก้ว,48462,
85,east,ระยอง,32.5,28.9,W,18.53,00:45,0,757.4,2022-08-21,85,55,ระยอง,48478,Rayong
86,east,ห้วยโป่ง สกษ.,33.2,26.3,SW,14.83,10:30,0,"1,054.8",2022-08-21,86,55,ระยอง,48479,
87,east,ปราจีนบุรี,33.8,26.1,W,9.27,18:40,8.1,"1,167.9",2022-08-21,87,56,ปราจีนบุรี,48430,Prachin Buri
88,east,กบินทร์บุรี,34.2,25.9,,,,5.0,"1,105.8",2022-08-21,88,56,ปราจีนบุรี,48439,
89,east,ตราด,30.5,26.0,S,25.95,13:46,67.0,"3,444.8",2022-08-21,89,57,ตราด,48501,Trat
90,east,จันทบุรี,31.8,27.0,WSW,27.80,14:36,16.1,"1,945.7",2022-08-21,90,58,จันทบุรี,48480,Chanthaburi
91,east,พลิ้ว สกษ.,31.2,26.4,SW,12.97,14:12,14.8,"2,113.2",2022-08-21,91,58,จันทบุรี,48481,
92,east,ฉะเชิงเทรา,34.0,24.4,SW,27.80,11:05,0,"1,053.8",2022-08-21,92,59,ฉะเชิงเทรา,48458,Chachoengsao
93,east,นครนายก,23.7,18.9,WNW,9.27,12:23,3.5,"2,331.8",2022-08-21,93,60,นครนายก,48417,Nakhon Nayok
94,east,พัทยา,32.1,27.0,WSW,18.53,21:00,0,692.5,2022-08-21,94,61,ชลบุรี,48461,Chon Buri
95,east,ชลบุรี,33.9,25.6,W,24.09,14:30,0,947.7,2022-08-21,95,61,ชลบุรี,48459,
96,east,เกาะสีชัง,32.0,24.0,SE,18.53,14:05,0,797.1,2022-08-21,96,61,ชลบุรี,48460,
97,east,สัตหีบ,32.8,26.5,SSW,14.83,13:20,0,"1,019.9",2022-08-21,97,61,ชลบุรี,48477,
98,east,แหลมฉบัง,31.4,24.6,W,22.24,16:52,0,552.7,2022-08-21,98,61,ชลบุรี,48463,
99,west,ชุมพร,33.6,26.6,SSW,27.80,14:16,4.5,"1,420.0",2022-08-21,99,63,ชุมพร,48517,Chumphon
100,west,สวี สกษ.,33.2,26.0,SW,12.97,14:05,3.2,"1,434.4",2022-08-21,100,63,ชุมพร,48520,
101,west,นครศรีธรรมราช,34.5,24.9,W,38.92,14:00,13.1,"2,012.0",2022-08-21,101,64,นครศรีธรรมราช,48552,Nakhon Si Thammarat
102,west,นครศรีธรรมราช สกษ.,34.7,24.6,SW,37.07,16:45,0,"1,823.4",2022-08-21,102,64,นครศรีธรรมราช,48554,
103,west,ฉวาง,32.7,24.4,SSW,40.77,12:10,33.6,"1,254.0",2022-08-21,103,64,นครศรีธรรมราช,48557,
104,west,นราธิวาส,33.8,23.8,WSW,40.77,13:48,0,"1,658.1",2022-08-21,104,65,นราธิวาส,48583,Narathiwat
105,west,ยะลา สกษ.,31.9,24.4,,14.83,00:00,0,"1,314.7",2022-08-21,105,67,ยะลา,48581,Yala
106,west,ปัตตานี,31.6,24.5,WSW,31.51,18:50,0,"1,129.8",2022-08-21,106,68,ปัตตานี,48580,Pattani
107,west,เพชรบุรี,33.3,24.5,,,,0,569.3,2022-08-21,107,70,เพชรบุรี,48465,Phetchaburi
108,west,หัวหิน,33.0,26.5,WSW,22.24,15:00,0,672.6,2022-08-21,108,71,ประจวบคีรีขันธ์,48475,Prachuap Khiri Khan
109,west,ประจวบคีรีขันธ์,33.0,27.0,WNW,25.95,13:20,0,"1,095.4",2022-08-21,109,71,ประจวบคีรีขันธ์,48500,
110,west,หนองพลับ สกษ.,34.0,23.9,SW,33.36,14:15,0,681.3,2022-08-21,110,71,ประจวบคีรีขันธ์,48474,
111,west,เกาะสมุย,33.9,26.7,WSW,46.33,18:20,0,"1,265.3",2022-08-21,111,72,สุราษฎร์ธานี,48550,Surat Thani
