,id,province,station_id,station_name
0,1,เชียงราย,48303,เชียงราย
1,1,เชียงราย,48304,เชียงราย สกษ.
2,2,เชียงใหม่,48327,เชียงใหม่
3,2,เชียงใหม่,48302,ดอยอ่างขาง
4,2,เชียงใหม่,48326,แม่โจ้ สกษ.
5,3,แม่ฮ่องสอน,48300,แม่ฮ่องสอน
6,3,แม่ฮ่องสอน,48325,แม่สะเรียง
7,4,ตาก,48376,ตาก
8,4,ตาก,48375,แม่สอด
9,4,ตาก,48377,เขื่อนภูมิพล
10,4,ตาก,48387,ดอยมูเซอ สกษ.
11,4,ตาก,48385,อุ้มผาง
12,5,น่าน,48331,น่าน
13,5,น่าน,48333,น่าน สกษ.
14,5,น่าน,48315,ท่าวังผา
15,5,น่าน,48307,ทุ่งช้าง
16,6,อุตรดิตถ์,48351,อุตรดิตถ์
17,7,พิษณุโลก,48378,พิษณุโลก
18,8,กำแพงเพชร,48380,กำแพงเพชร
19,9,พิจิตร,48386,พิจิตร สกษ.
20,10,สุโขทัย,48372,สุโขทัย
21,10,สุโขทัย,48373,ศรีสำโรง สกษ.
22,11,พะเยา,48310,พะเยา
23,12,ลำพูน,48329,ลำพูน
24,13,ลำปาง,48328,ลำปาง
25,13,ลำปาง,48324,เถิน
26,13,ลำปาง,48334,ลำปาง สกษ.
27,14,แพร่,48330,แพร่
28,15,เพชรบูรณ์,48379,เพชรบูรณ์
29,15,เพชรบูรณ์,48374,หล่มสัก
30,15,เพชรบูรณ์,48413,วิเชียรบุรี
31,16,หนองคาย,48352,หนองคาย
32,17,เลย,48353,เลย
33,17,เลย,48350,เลย สกษ.
34,18,ขอนแก่น,48381,ขอนแก่น
35,18,ขอนแก่น,48384,ท่าพระ สกษ.
36,19,อุบลราชธานี,48407,อุบลราชธานี (ศูนย์ฯ)
37,19,อุบลราชธานี,48408,อุบลราชธานี สกษ.
38,20,นครราชสีมา,48431,นครราชสีมา
39,20,นครราชสีมา,48435,ปากช่อง สกษ.
40,20,นครราชสีมา,48434,โชคชัย
41,21,ร้อยเอ็ด,48405,ร้อยเอ็ด
42,21,ร้อยเอ็ด,48404,ร้อยเอ็ด สกษ.
43,22,มุกดาหาร,48383,มุกดาหาร
44,23,อุดรธานี,48354,อุดรธานี
45,24,หนองบัวลำภู,48360,หนองบัวลำภู
46,25,นครพนม,48357,นครพนม
47,25,นครพนม,48358,นครพนม สกษ.
48,26,สกลนคร,48356,สกลนคร
49,26,สกลนคร,48355,สกลนคร สกษ.
50,27,มหาสารคาม,48382,มหาสารคาม
51,28,กาฬสินธุ์,48390,กาฬสินธุ์
52,29,ชัยภูมิ,48403,ชัยภูมิ
53,30,ศรีสะเกษ,48409,ศรีสะเกษ
54,31,ยโสธร,48406,ยโสธร
55,32,สุรินทร์,48432,สุรินทร์
56,32,สุรินทร์,48433,สุรินทร์ สกษ.
57,32,สุรินทร์,48416,ท่าตูม
58,33,บุรีรัมย์,48437,บุรีรัมย์
59,33,บุรีรัมย์,48436,นางรอง
60,34,อำนาจเจริญ,48391,อำนาจเจริญ
61,35,กาญจนบุรี,48450,กาญจนบุรี
62,35,กาญจนบุรี,48421,ทองผาภูมิ
63,36,นครสวรรค์,48400,นครสวรรค์
64,36,นครสวรรค์,48401,ตากฟ้า สกษ.
65,37,กรุงเทพมหานคร,48455,กรุงเทพมหานคร
66,37,กรุงเทพมหานคร,48454,กรุงเทพฯ ท่าเรือคลองเตย
67,37,กรุงเทพมหานคร,48453,กรุงเทพฯ บางนา สกษ.
68,37,กรุงเทพมหานคร,48456,สนามบินดอนเมือง
69,38,สุพรรณบุรี,48425,สุพรรณบุรี
70,38,สุพรรณบุรี,48427,อู่ทอง สกษ.
71,39,ชัยนาท,48402,ชัยนาท สกษ.
72,40,ลพบุรี,48426,ลพบุรี
73,40,ลพบุรี,48418,บัวชุม
74,41,พระนครศรีอยุธยา,48415,พระนครศรีอยุธยา
75,42,ราชบุรี,48464,ราชบุรี
76,43,ปทุมธานี,48419,ปทุมธานี สกษ.
77,46,สมุทรสงคราม,48438,สมุทรสงคราม
78,48,อุทัยธานี,48410,อุทัยธานี
79,50,นครปฐม,48451,นครปฐม
80,51,สมุทรปราการ,48457,นำร่อง
81,51,สมุทรปราการ,48420,สมุทรปราการ สกษ.
82,51,สมุทรปราการ,48429,สนามบินสุวรรณภูมิ
83,53,สระแก้ว,48440,สระแก้ว
84,53,สระแก้ว,48462,อรัญประเทศ
85,55,ระยอง,48478,ระยอง
86,55,ระยอง,48479,ห้วยโป่ง สกษ.
87,56,ปราจีนบุรี,48430,ปราจีนบุรี
88,56,ปราจีนบุรี,48439,กบินทร์บุรี
89,57,ตราด,48501,ตราด
90,58,จันทบุรี,48480,จันทบุรี
91,58,จันทบุรี,48481,พลิ้ว สกษ.
92,59,ฉะเชิงเทรา,48458,ฉะเชิงเทรา
93,60,นครนายก,48417,นครนายก
94,61,ชลบุรี,48461,พัทยา
95,61,ชลบุรี,48459,ชลบุรี
96,61,ชลบุรี,48460,เกาะสีชัง
97,61,ชลบุรี,48477,สัตหีบ
98,61,ชลบุรี,48463,แหลมฉบัง
99,63,ชุมพร,48517,ชุมพร
100,63,ชุมพร,48520,สวี สกษ.
101,64,นครศรีธรรมราช,48552,นครศรีธรรมราช
102,64,นครศรีธรรมราช,48554,นครศรีธรรมราช สกษ.
103,64,นครศรีธรรมราช,48557,ฉวาง
104,65,นราธิวาส,48583,นราธิวาส
105,67,ยะลา,48581,ยะลา สกษ.
106,68,ปัตตานี,48580,ปัตตานี
107,69,สงขลา,48568,สงขลา
108,69,สงขลา,48571,คอหงษ์ สกษ.
109,69,สงขลา,48574,สะเดา
110,69,สงขลา,48569,หาดใหญ่
111,70,เพชรบุรี,48465,เพชรบุรี
112,71,ประจวบคีรีขันธ์,48475,หัวหิน
113,71,ประจวบคีรีขันธ์,48500,ประจวบคีรีขันธ์
114,71,ประจวบคีรีขันธ์,48474,หนองพลับ สกษ.
115,72,สุราษฎร์ธานี,48550,เกาะสมุย
116,72,สุราษฎร์ธานี,48551,สุราษฎร์ธานี
117,72,สุราษฎร์ธานี,48555,สุราษฎร์ธานี สกษ.
118,72,สุราษฎร์ธานี,48556,พระแสง สอท.
119,73,พัทลุง,48560,พัทลุง สกษ.
120,74,ระนอง,48532,ระนอง
